,price,propertyType,size,exterior,rooms,bathrooms,province,municipality,distance,status,newDevelopment,floor,district,hasLift,parkingSpace
225,550.0,flat,105.0,True,3,1,Afueras,El Viso de San Juan,35598,good,False,2,desconocido,False,True
226,720.0,flat,54.0,True,1,1,Madrid,Madrid,3296,good,False,bj,Carabanchel,False,desconocido
227,550.0,penthouse,75.0,True,2,2,Madrid,Villa del Prado,53247,good,False,desconocido,desconocido,False,desconocido
228,720.0,flat,49.0,False,3,1,Madrid,Madrid,8411,good,False,3,Villaverde,False,desconocido
229,740.0,flat,65.0,True,3,1,Madrid,Madrid,8443,good,False,1,Vicálvaro,True,desconocido
231,720.0,flat,56.0,False,2,1,Madrid,Madrid,6691,good,False,4,Villaverde,False,desconocido
232,650.0,flat,31.0,False,1,1,Madrid,Madrid,1207,good,False,3,Centro,False,desconocido
233,650.0,flat,96.0,True,2,1,Madrid,Aranjuez,43953,good,False,3,Nuevo Aranjuez-Ciudad de las Artes,False,desconocido
235,690.0,flat,64.0,True,2,1,Madrid,Alcalá de Henares,30634,good,False,bj,Val,False,desconocido
236,750.0,studio,25.0,True,0,1,Madrid,Madrid,3177,good,False,5,Barrio de Salamanca,True,desconocido
238,725.0,flat,45.0,True,1,1,Madrid,Madrid,10508,good,False,2,San Blas,True,True
239,620.0,flat,85.0,False,1,1,Madrid,Pinto,19767,good,False,bj,San José - Buenos Aires,True,True
240,590.0,flat,52.0,True,1,1,Madrid,Los Molinos,44526,good,False,bj,desconocido,False,desconocido
241,750.0,penthouse,80.0,True,0,1,Madrid,Tres Cantos,20818,good,False,1,Zona Industrial,True,True
242,720.0,studio,36.0,True,0,1,Madrid,Madrid,5975,good,False,2,Ciudad Lineal,True,True
243,700.0,flat,82.0,True,2,1,Madrid,San Lorenzo de el Escorial,42463,good,False,3,Centro - Casco Histórico,False,desconocido
245,692.0,flat,83.0,True,2,2,Madrid,Torrejón de Ardoz,20294,newdevelopment,True,desconocido,Suroeste,True,True
246,670.0,flat,79.0,True,2,2,Madrid,Torrejón de Ardoz,20294,newdevelopment,True,desconocido,Suroeste,True,True
247,609.0,flat,56.0,True,1,1,Madrid,Alcalá de Henares,30186,newdevelopment,True,bj,Espartales,True,desconocido
248,718.0,flat,86.0,True,2,2,Madrid,Torrejón de Ardoz,20294,newdevelopment,True,desconocido,Suroeste,True,True
249,694.0,flat,81.0,True,2,2,Madrid,Torrejón de Ardoz,20294,newdevelopment,True,desconocido,Suroeste,True,True
250,658.0,flat,78.0,True,2,2,Madrid,Torrejón de Ardoz,20294,newdevelopment,True,desconocido,Suroeste,True,True
251,750.0,flat,36.0,False,2,1,Madrid,Madrid,3620,good,False,2,Tetuán,True,desconocido
252,723.0,flat,88.0,True,2,2,Madrid,Torrejón de Ardoz,20294,newdevelopment,True,desconocido,Suroeste,True,True
253,728.0,flat,91.0,True,2,2,Madrid,Torrejón de Ardoz,20294,newdevelopment,True,desconocido,Suroeste,True,True
254,650.0,studio,28.0,True,0,1,Madrid,Madrid,4920,good,False,bj,Tetuán,False,desconocido
